Folder Name,Image Filename,Image Path
Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis (1).jpeg,Freshwater Fish Disease Aquaculture in south asia\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis (1).jpeg
Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis (1).jpg,Freshwater Fish Disease Aquaculture in south asia\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis (1).jpg
Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis (1).png,Freshwater Fish Disease Aquaculture in south asia\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis (1).png
Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis (10).jpg,Freshwater Fish Disease Aquaculture in south asia\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis (10).jpg
Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis (100).jpg,Freshwater Fish Disease Aquaculture in south asia\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis (100).jpg
Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis (101).jpg,Freshwater Fish Disease Aquaculture in south asia\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis (101).jpg
Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis (102).jpg,Freshwater Fish Disease Aquaculture in south asia\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis (102).jpg
Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis (103).jpg,Freshwater Fish Disease Aquaculture in south asia\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis (103).jpg
Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis (104).jpg,Freshwater Fish Disease Aquaculture in south asia\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis (104).jpg
Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis (105).jpg,Freshwater Fish Disease Aquaculture in south asia\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis (105).jpg
